0,6,2,5,7,8,8,8,8,8
-3934.440290377567,-8374.87301918375,-10855.041628776766,-11880.312779166503,-13056.395582911611,-14210.270941991559,-14771.66156520948,-15242.95897001871,-16294.811281730254,-16842.43397008123
0,1,2,2,2,3,3,7,7,8
-3937.440290377567,-8380.875031841577,-10864.041628776766,-11891.294276466375,-13069.235649838694,-14227.351284036129,-14792.57580824639,-15269.178614968685,-16321.0927048951,-16869.43397008123
0,1,2,2,2,2,3,2,3,2
-3944.8019232960405,-8395.598297678524,-10886.126527532186,-11913.379175221795,-13091.320548594114,-14254.121259333058,-14822.022339920284,-15306.928393227767,-16357.836133449708,-16914.243210701592
