5,7,8,8,6,8,8,7,8,8,8,8,8,8,8,7,8,8,8,7
79095.48534611777,-11510.42894671267,-12891.587115571025,-15100.706796798822,-16239.851574383514,-16670.023789468618,-17144.59860202669,-17888.225754394865,-18679.250602062722,-18867.788756058893,-19152.544609416454,-19548.640448156777,-20055.787951333754,-19918.998532700887,-20235.157428508035,-20649.600838003425,-19987.424951022607,-20712.156391133176,-21481.221392259897,-21475.689205714
5,5,5,5,5,4,5,5,4,4,5,4,4,4,4,5,5,5,4,5
79089.48534611777,-11516.71023930375,-12898.129465776503,-15107.32310330656,-16246.040365240508,-16675.959236249557,-17151.416448563377,-17894.92733225267,-18684.897044016958,-18873.340918325674,-19159.347816317808,-19554.315976028505,-20061.230723730278,-19924.48898527598,-20241.15117124639,-20655.976395062822,-19993.84272654723,-20718.486197859253,-21486.576996956184,-21482.098944177298
5,3,3,4,3,3,2,2,3,3,4,3,2,3,2,3,2,2,2,3
79074.76208028082,-11528.290890985438,-12908.177054098354,-15119.980242862566,-16257.887296936458,-16686.960602574247,-17161.2294054475,-17905.325915388847,-18695.3634094558,-18884.078624131893,-19173.565896518667,-19565.200073161537,-20069.16445125664,-19935.32780087694,-20249.807579635948,-20668.17782914081,-20004.455148073037,-20729.62280064865,-21496.393768140966,-21495.482597158592
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
